compressor_1, compressor_2, compression_chunk_is_new, compression_wk_is_new, compression_wk_is_last, extending_ready
0,0,0,0,0,0
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
0,0,0,0,0,1
-1964008444,-531121152,1,1,0,0
674062320,1773525925,0,1,0,0
961987163,1508970993,0,1,0,0
-1841331548,-1424204075,0,1,0,0
-670586216,310598401,0,1,0,0
607225278,1426881987,0,1,0,0
1925078388,-2132889090,0,1,0,0
-1680079193,-1046744620,0,1,0,0
-69047304,-1262762036,0,1,0,0
-192488846,338110285,0,1,0,0
1742998564,1556170073,0,1,0,0
-1865224271,-2037939344,0,1,0,0
-946272868,-820959134,0,1,0,0
-1396362700,1445060584,0,1,0,0
493985309,1174086337,0,1,0,0
-776592399,-1436685205,0,1,0,0
-212062272,-199486029,0,1,0,0
-1153066379,-653713166,0,1,0,0
793232910,1022432089,0,1,0,0
-1566725032,263835358,0,1,0,0
-50393218,-1484345339,0,1,0,0
108997826,289244300,0,1,0,0
-1309527439,-807136875,0,1,0,0
-1278416673,225720227,0,1,0,0
1190332022,-710012570,0,1,0,0
-1265600395,1502072421,0,1,0,0
-458133874,680913676,0,1,0,0
-331239702,-1822917506,0,1,0,0
-306327257,-1852675287,0,1,0,0
1940707715,616004286,0,1,0,0
1166329844,1879492337,0,1,0,1
581533681,2009468686,0,1,1,1
581533681,2009468686,0,0,1,1
581533681,2009468686,0,0,1,1
581533681,2009468686,0,0,1,1
581533681,2009468686,0,0,1,1
581533681,2009468686,0,0,1,1
581533681,2009468686,0,0,1,1
581533681,2009468686,0,0,1,1
